Date,Campaign type,Impressions,Clicks,Cost,Conversions,Revenue
,,143669.0,896.0,656.3,6.5,1410.3
,,3.0,0.0,0.0,0.0,0.0
,,3701.0,251.0,496.5,4.5,576.4
,,36211.0,8.0,115.2,0.0,0.0
,,183496.0,1172.0,1525.0,8.8,3565.7
,,8.0,0.0,0.0,0.0,0.0
,,5764.0,492.0,1256.8,9.4,1266.2
,,36876.0,4.0,120.2,0.0,0.0
,,165282.0,988.0,1342.4,20.3,2511.1
,,10.0,0.0,0.0,0.0,0.0
,,5950.0,536.0,1639.8,14.8,3574.5
,,36427.0,3.0,120.6,0.0,0.0
,,126346.0,812.0,1118.6,17.9,6379.6
,,12.0,0.0,0.0,0.0,0.0
,,5063.0,527.0,1324.6,18.2,3933.2
,,35725.0,0.0,120.0,0.0,0.0
,,108205.0,736.0,931.4,18.0,3034.3
,,9.0,0.0,0.0,0.0,0.0
,,4806.0,494.0,1214.6,22.9,6063.9
,,36676.0,2.0,120.5,0.0,0.0
,,82521.0,574.0,431.6,18.0,1745.6
,,2.0,0.0,0.0,0.0,0.0
,,2470.0,281.0,490.2,16.5,1267.0
,,37949.0,1.0,120.1,0.0,0.0
,,65822.0,484.0,324.5,16.4,3441.8
,,5.0,0.0,0.0,0.0,0.0
,,2578.0,268.0,412.0,17.0,3019.0
,,38380.0,4.0,119.3,0.0,0.0
,,82829.0,647.0,819.1,38.7,7824.3
,,8.0,0.0,0.0,0.0,0.0
,,3655.0,437.0,947.8,54.6,11383.4
,,38573.0,5.0,119.6,0.0,0.0
,,108980.0,751.0,969.1,33.3,7902.4
,,7.0,0.0,0.0,0.0,0.0
,,4013.0,456.0,1080.4,35.5,6906.1
,,38372.0,3.0,119.6,0.0,0.0
,,156835.0,988.0,1393.1,60.0,12345.6
,,8.0,0.0,0.0,0.0,0.0
,,4477.0,536.0,1410.3,58.7,13761.6
,,36964.0,1.0,118.1,0.0,0.0
,,236943.0,1455.0,2028.8,58.5,8877.8
,,13.0,0.0,0.0,0.0,0.0
,,5090.0,509.0,1118.8,48.5,11203.3
,,38278.0,1.0,119.2,0.0,0.0
,,231939.0,1296.0,1800.9,30.4,8638.6
,,6.0,0.0,0.0,0.0,0.0
,,3996.0,432.0,742.7,30.5,6679.6
,,38705.0,4.0,118.4,0.0,0.0
,,277964.0,1683.0,1605.1,35.1,7663.5
,,4.0,0.0,0.0,0.0,0.0
,,3085.0,271.0,330.8,6.7,1105.3
,,38455.0,3.0,119.0,0.0,0.0
,,326220.0,1998.0,2028.4,22.6,2690.2
,,3.0,0.0,0.0,0.0,0.0
,,3601.0,278.0,417.7,11.0,1157.9
,,39071.0,2.0,118.1,0.0,0.0
,,434756.0,2489.0,3604.6,64.6,10411.7
,,4.0,0.0,0.0,0.0,0.0
,,5392.0,473.0,1115.5,42.2,9766.8
,,23161.0,2.0,69.6,0.0,0.0
,,482605.0,2726.0,4215.0,63.2,14963.4
,,7.0,0.0,0.0,0.0,0.0
,,5592.0,547.0,1146.7,43.2,6736.5
,,23294.0,0.0,72.3,0.0,0.0
,,515359.0,2832.0,4682.9,63.8,15741.0
,,4.0,0.0,0.0,0.0,0.0
,,5685.0,540.0,1402.6,44.4,10774.5
,,22886.0,2.0,72.4,0.8,113.7
,,485985.0,2512.0,4009.5,59.2,19169.2
,,2.0,0.0,0.0,0.0,0.0
,,6519.0,573.0,1590.8,38.3,10497.9
,,22712.0,2.0,72.1,0.0,0.0
,,473546.0,2463.0,3707.0,54.4,10077.7
,,8.0,0.0,0.0,0.0,0.0
,,5856.0,503.0,1179.7,28.0,5698.8
,,22564.0,2.0,72.1,0.0,0.0
,,391816.0,2277.0,2594.5,41.5,7980.2
,,1.0,0.0,0.0,0.0,0.0
,,4064.0,298.0,366.7,11.7,1198.7
,,21648.0,1.0,71.5,0.0,0.0
,,425028.0,2323.0,2447.9,29.3,6491.4
,,1.0,0.0,0.0,0.0,0.0
,,4510.0,367.0,520.6,13.4,2759.3
,,21293.0,0.0,71.1,0.0,0.0
,,574062.0,2921.0,4732.3,54.2,8599.4
,,5.0,0.0,0.0,0.0,0.0
,,8208.0,564.0,1549.7,43.4,9666.4
,,21677.0,1.0,70.8,0.0,0.0
,,604924.0,3082.0,4937.0,50.8,7247.7
,,4.0,0.0,0.0,0.0,0.0
,,9025.0,632.0,1624.9,62.0,21010.0
,,20978.0,1.0,70.1,0.0,0.0
,,608893.0,3027.0,5193.1,69.3,13384.7
,,4.0,0.0,0.0,0.0,0.0
,,20181.0,912.0,3305.1,60.3,15434.2
,,21047.0,1.0,69.8,0.0,0.0
,,597707.0,3096.0,5209.3,79.4,20348.1
,,7.0,0.0,0.0,0.0,0.0
,,15704.0,852.0,2874.0,52.8,12394.4
,,21237.0,1.0,69.5,0.0,0.0
,,501184.0,2632.0,3646.5,62.3,11202.0
,,2.0,0.0,0.0,0.0,0.0
,,13340.0,696.0,2310.7,45.6,8948.0
,,21204.0,1.0,69.2,0.0,0.0
,,451824.0,2432.0,2503.7,26.4,2921.0
,,4.0,0.0,0.0,0.0,0.0
,,9624.0,479.0,1030.1,14.7,3599.4
,,20492.0,2.0,68.5,0.0,0.0
,,460679.0,2664.0,2737.4,37.7,4842.3
,,8.0,0.0,0.0,0.0,0.0
,,9384.0,444.0,853.5,15.5,2732.8
,,19994.0,4.0,67.4,0.0,0.0
,,622329.0,3256.0,5148.5,67.2,11734.6
,,8.0,0.0,0.0,0.0,0.0
,,15600.0,768.0,2346.9,50.1,18960.8
,,19440.0,3.0,66.3,0.0,0.0
,,650377.0,3319.0,5374.6,75.6,13479.2
,,10.0,0.0,0.0,0.0,0.0
,,15189.0,793.0,2331.4,56.6,12622.0
,,19077.0,2.0,64.0,0.0,0.0
,,698237.0,3690.0,6218.3,78.5,15357.7
,,7.0,0.0,0.0,0.0,0.0
,,17932.0,836.0,2399.3,47.0,13171.6
,,18450.0,3.0,61.4,0.0,0.0
,,613360.0,3211.0,4718.5,54.7,8627.5
,,8.0,0.0,0.0,0.0,0.0
,,16213.0,833.0,2686.3,46.4,10263.2
,,20701.0,4.0,72.8,0.0,0.0
,,610351.0,3124.0,4748.0,56.5,14842.5
,,3.0,0.0,0.0,0.0,0.0
,,16626.0,819.0,2468.4,49.8,14267.7
,,21800.0,4.0,76.0,0.0,0.0
,,556633.0,2946.0,3362.6,26.2,4793.5
,,2.0,0.0,0.0,0.0,0.0
,,13462.0,490.0,1003.4,15.5,4451.8
,,21902.0,3.0,76.8,0.0,0.0
,,529966.0,3039.0,3239.0,39.0,7092.0
,,10129.0,536.0,1046.2,13.0,2331.9
,,21836.0,2.0,76.2,0.8,1678.2
